primary_artist,country,songs,plays
Harold Faltermeyer,US,1,34
Julieta Venegas,ES,1,34
Pierre Perret,FR,1,34
Richard Harris,IE,1,34
S.I.R Please,US,1,34
SAINt JHN & Imanbek,KZ,1,34
Teletoon,CA,1,34
The Fugees,,1,34
Daddy DJ,FR,1,33
Dobie Gray,US,1,33
Drake Bell,US,2,33
Faudel,FR,1,33
Jean Tonique,FR,1,33
Juanes,ES,1,33
Kangoo (Serie TV),FR,1,33
Kenkfraft 400,DE,1,33
Kero One,US,1,33
Lenny Kravitz,US,2,33
Naaz,NL,1,33
Nelward,US,1,33
Neon Trees,US,1,33
Randy Newman,US,1,33
Rob Zombie,US,1,33
Seinabo Sey,NO,1,33
The Fielders,,1,33
AlunaGeorge,GB,1,32
Cass Elliot,US,1,32
Children of Zeal,US,1,32
Darude,FI,2,32
Diana Panton,FR,1,32
Electronic,GB,1,32
Ghost Beach,US,1,32
I-Cube,FR,1,32
LMFAO,US,3,32
Mylo,GB,1,32
Natalie Cardone,FR,1,32
Panic At the Disco,US,1,32
Romeo et Juliette,FR,1,32
SS501,KR,1,32
Stacey Kent,FR,1,32
Stereoclip,BE,2,32
Suken,FR,1,32
Sylvie Vartan,FR,1,32
The Ronettes,US,1,32
The Turtles,US,1,32
Trevor Daniel,US,1,32
Victor Deme & Synapson,FR,1,32
yuugen & Brayan Rojitas,CO,1,32
ACDC,AU,1,31
Coralie Clément,FR,1,31
Dschinghis Khan,DE,1,31
Elijah Blake,US,1,31
Else,FR,1,31
Fede Klotz,AR,1,31
Gracie Abrams,US,1,31
Jacques Cardona,FR,1,31
Johnny Stimson,US,1,31
Josh Fudge,US,1,31
Jovelli,BR,1,31
Kelly Clarkson,US,1,31
Laurent Wolf,FR,3,31
Louis La Roche,GB,2,31
Mel Brooks,US,2,31
Peter Paul,,1,31
Polo G,US,1,31
Portugal The Man,US,1,31
SBTRKT,GB,1,31
Sean Kingston,US,2,31
Sombr,US,1,31
Stereo MC's,GB,1,31
Tiron,US,1,31
Wisin & Yandel,US,1,31
Bobby Caldwell,US,1,30
Branbal & Home,US,1,30
Eels,US,1,30
Estelle,GB,1,30
"GEE LEE, Riton",,1,30
Helmut Fritz,FR,2,30
Jim Brickman,US,1,30
Jose Feliciano,US,1,30
K-Maro,FR,1,30
Keen V,FR,1,30
Los Adolescantes,VE,1,30
Midnight Juggernauts,AU,1,30
Oasis,US,1,30
Piper,JP,1,30
Star Boys,FR,1,30
Teddybears,SE,1,30
The Beach Boys,US,1,30
A$AP Rocky,FR,1,29
Chemical Brothers & Daft Punk,FR,1,29
Dean Martin,US,2,29
Devendra Banhart,US,1,29
Era,FR,2,29
Gym Class Heroes featuring Patrick Stump,US,2,29
He-Man,US,1,29
Inna Modja,FR,1,29
KONGOS,ZA,1,29
Klangkarussell,AT,1,29
M(Chanteur),FR,1,29
MEM,FR,1,29
Meric Again & 22 Angels,DZ,1,29
St Lucia,ZA,1,29
Stardust,FR,1,29
Takuya Kuroda,JP,1,29
Ten Walls,LT,2,29
The Game,US,1,29
The Proclaimers,GB,1,29
The Rubettes,GB,1,29
The Zombies,GB,1,29
Ultra Naté,US,1,29
VITAA,FR,1,29
Worakis,FR,1,29
Wynter Gordon,US,1,29
Anita Ward,US,1,28
Arnaud Fleurent-Didier,FR,1,28
Busta Rhymes,US,1,28
Dion,US,1,28
Eiffel 65,IT,1,28
Fetty Wap,US,2,28
Guru Josh Project,GB,1,28
Hampton The Hamster,CA,1,28
Jaden Chase,CA,1,28
Juliet Fox,AU,1,28
Les Trois Accords,CA,1,28
Memorex Memories,GB,2,28
Mr. C,US,1,28
Peter Cincotti,US,1,28
Rascal Flats,US,1,28
Saweetie,US,1,28
Schnuffel,DE,1,28
Shaboozey,US,1,28
Sonya Spence,JM,1,28
Steppenwolf,CA,1,28
Trails,,1,28
4t thieves,GB,1,27
Ambassador,US,1,27
BJ Thomas,US,1,27
Bronski Beat,GB,1,27
Bullet for My Valentine,GB,3,27
Coldplay/Rogue,GB,1,27
DJ Earthworm,US,2,27
David Lee Roth,US,1,27
Eurythmics,GB,1,27
Fakear,FR,1,27
Gigi D'Agostino,IT,1,27
Icona Pop,SE,1,27
Jacques Chirac,FR,1,27
Jewelz,DE,1,27
Madness,GB,1,27
Marvin Gaye,NO,2,27
Metro Boomin,US,1,27
Nuane (feat. Aritus),GB,1,27
Pharrell,US,2,27
Ringo Starr,GB,1,27
Shanna,FR,1,27
Sweetpower,BR,1,27
The Blaze,FR,1,27
The Notorious B.I.G.,US,3,27
the Fratellis,GB,1,27
AC/dB,AU,2,26
Amerie,FR,1,26
Beverlay,CA,1,26
Brockbeats,JP,1,26
Chromatics,US,1,26
"Earth, Wind & Fire",US,1,26
Filous & Clementine,FR,1,26
Franz Ferdinand & Daft Punk,FR,1,26
G-Eazy,,1,26
Goo Goo Dolls,US,1,26
Housecall,US,1,26
"I, Monster",GB,1,26
Isley Brothers,US,1,26
Kate Ryan,BE,1,26
Mungo Jerry,GB,1,26
Nassau,IT,1,26
Nickelodeon,US,1,26
Paul McCartney & The Wings,GB,1,26
Skule Toyama,MX,1,26
Steve Miller Band,US,1,26
The Outfield,GB,1,26
The Tee Set,NL,1,26
Voyage,BE,2,26
American Dad Cast,US,1,25
Bon Jovi,US,1,25
Camille,FR,1,25
Disiz,FR,1,25
Dj Dark & MD Dj,RO,1,25
Eliza Rose,GB,1,25
Gucci Mane,US,1,25
Heart,US,1,25
Hits Variété Pop,FR,1,25
Jean-Luc Lahaye,FR,1,25
Lil Tay,CA,1,25
M.Pokora,FR,1,25
Mc Solaar,FR,1,25
Minnie Riperton,US,1,25
Nena,DE,1,25
Pleasurekraft,SE,1,25
Ricchi e poveri - testo,IT,1,25
Richard Sanderson,GB,1,25
Roger Sanchez,US,1,25
Suzy Q,US,1,25
The Delfonics,US,1,25
The Pussycat Dolls,US,2,25
Tim Dup,FR,1,25
Yannick Noah,FR,1,25
Young Jeezy,US,1,25
憂鬱,JP,2,25
80s,US,1,24
Bastille,GB,1,24
Bob sinclar & Rafaella Carra,FR,1,24
Bryan Adams,CA,1,24
Cardigans,SE,1,24
Danzel,BE,1,24
Death From Above 1979,CA,1,24
Die Atzen,DE,1,24
Falco,AT,1,24
Garden City Movement  Lola Marsh,,1,24
Günther,DE,1,24
Hootie & The Blowfish,US,1,24
Hotel Pools,US,2,24
Loane,FR,1,24
Lou Bega,DE,1,24
M (Music Artist),GB,1,24
Mark Morrison,GB,1,24
Migos,US,1,24
Nick Lowe,GB,1,24
Parvati Khan,IN,1,24
Regrets,FR,1,24
Robin Thicke,CA,1,24
Spargo,NL,1,24
Tensnake & Purple Disco Machine,DE,1,24
Tiga,CA,1,24
WKND,DE,1,24
Weightlessness,US,1,24
Years & Years & Gryffin,GB,1,24
lobsterdust,US,1,24
Asa,FR,1,23
Aurora,NO,1,23
Axelle Red & Renaud,FR,1,23
Beau-J & Furia,US,1,23
Cherub,US,1,23
Chris Norman & Suzi Quatro,GB,1,23
Cut Killer,FR,1,23
Cyndi Lauper,US,2,23
DB Boulevard,IT,1,23
Dickie Goodman,US,1,23
Eddie Vedder,US,1,23
Fred again..,GB,1,23
Hoku,US,1,23
Iron Maiden,GB,1,23
Ludovico Einaudi,GB,1,23
M. Pokora,FR,1,23
Mr Flash,FR,1,23
Odetta,US,1,23
Seb,US,1,23
Snow Patrol,GB,1,23
Tacabro,IT,1,23
The Doozers,US,1,23
Antoine Mahe,FR,1,22
BB Brunes,FR,1,22
Christophe Willem,FR,1,22
Creed,US,1,22
Destiny's Child,US,1,22
Dido,GB,2,22
Francci,BR,1,22
Joan Jett & The Blackhearts,US,1,22
Jon Lajoie,CA,1,22
Kat Deluna,US,1,22
Kevin Gates,US,1,22
Kevin Rudolf & Lil Wayne,US,1,22
Lene Marlin,NO,1,22
Matt Houston,US,1,22
Nancy Sinatra,US,2,22
Nicky Youre & Dazy,US,1,22
Plain White T's,US,1,22
Public Enemy,US,1,22
Sam,,1,22
Showtek,NL,1,22
Taio Cruz,GB,1,22
The Script,IE,1,22
The Yardbirds,GB,1,22
Tommy McCook,JM,1,22
After The Fire,GB,1,21
Alpharock,NL,1,21
Aqua,DK,1,21
Ashlee Simpson,US,1,21
BBMak,GB,1,21
Bill Haley,US,1,21
Blackpink,KR,1,21
Chic (Band),US,2,21
Darude/Ville Virtanen,SE,1,21
Dresage &  Slow Shiver,,1,21
Dwntwn,US,1,21
Feirtag,NL,1,21
Fun (Band),US,1,21
Gavin Rossdale,GB,1,21
George Benson,US,1,21
Gorgon City,GB,1,21
Hot Chelle Rae,US,1,21
I Monster,GB,1,21
Jet,AU,1,21
John Travolta,US,1,21
Kaoru Akimoto & Night Tempo,KR,1,21
Max Manie,AU,1,21
Orson,US,1,21
Parliament,US,1,21
Paula Abdul,US,1,21
Rap Beats,US,1,21
Ruper Holmes,GB,1,21
Tarik NuClothes,US,1,21
Team America,US,2,21
The B-52s,US,1,21
The Chordettes,US,1,21
The Devils Sway,FR,1,21
Tyla (Artist),ZA,1,21
Zazie et Axel Bauer,FR,1,21
Amine Edge & Dance,FR,1,20
Austin Millz,US,1,20
Devin & Solange & Foxxy Cleopatra,CA,1,20
Djo,US,1,20
Elli et Jacno,FR,1,20
Fugees,US,1,20
Good Charlotte,US,1,20
Huntrix,KR,1,20
K Camp,,1,20
Laurie destal,FR,1,20
Lesley Gore,US,1,20
"Lipps, Inc.",US,1,20
Loleatta Holloway,US,1,20
Mark Ronson,US,1,20
Mickey Avalon,US,1,20
Molecule,FR,1,20
Red Hot Chili Peppers,US,2,20
RÜFÜS DU SOL,AU,1,20
Sara Bareilles,US,1,20
Sleepy Souls,US,1,20
The Grouch,US,1,20
UB40,GB,1,20
Yves Duteil,FR,1,20
Zimmer90,DE,1,20
90sFlav,US,1,19
ACRAZE,US,1,19
ADELE,GB,1,19
Afroman,US,1,19
Astro,CL,1,19
Crazy Frog,SE,1,19
Crystal Castles,CA,2,19
Doobie Brothers,US,1,19
First Choice,US,1,19
French Ball,FR,1,19
Frivolous,CA,1,19
Gym Class Heroes,US,1,19
Léo Ferré,FR,1,19
Roger Miller,US,1,19
Roy Orbison,US,1,19
Scott McKensie,US,1,19
Shocking Blue,NL,1,19
Soft Cell,GB,1,19
Talk Talk,GB,1,19
The Fray,US,1,19
Trinidad Cardona DaVido Aisha,NG,1,19
Vanessa Carlton,US,1,19
Wax,US,1,19
Baccara,ES,1,18
Bread & Butter,JP,1,18
Cirque du Soleil,CA,1,18
Cobra Starship,US,1,18
Cro,DE,1,18
Delegation,GB,1,18
Desireless,FR,1,18
Duran Duran,GB,1,18
Father,US,1,18
Global Communication,GB,1,18
Grant Smilie,,1,18
Hozier,IE,1,18
Hugues Aufray,FR,1,18
Joywave,US,1,18
KAMINI,FR,1,18
Les Ultras-Boys,FR,1,18
Mac Tyer,FR,2,18
Melanie,US,1,18
One Direction,GB,1,18
Pinkpantheress,GB,1,18
Scarface,US,1,18
Sugar Hill,FR,1,18
The Click Five,US,1,18
The Heavy,GB,1,18
The Kaleidoscopes & The Nightswimmers,GB,1,18
Ton Song,CN,1,18
Tong Song,CN,1,18
Tourism,AU,1,18
Tujamo,DE,1,18
Tyga,US,2,18
Yacht,FR,1,18
Yeah Yeah Yeahs,CA,1,18
4 Non Blondes,US,1,17
Bonobo,GB,1,17
Boom Box,PT,1,17
CBMN,FR,1,17
Cesaria Evora,SR,1,17
Chumbawamba,GB,1,17
Claire Rosinkranz,US,1,17
DJ BOBO,CH,1,17
DJ Fresh,US,1,17
Das Tapes,US,1,17
Eartha Kitt,US,1,17
Edward Maya & Vika Jigulina,RO,1,17
Enur,DK,1,17
Eric Cartman,US,1,17
Guizmo,FR,1,17
Jason Derülo,US,1,17
Kasso,IT,1,17
Louis Armstrong,US,1,17
MIdnight Runners,GB,1,17
Miike Snow,SE,1,17
Milky Chance,DE,1,17
Momoko Kikuchi,JP,1,17
Revenge,US,1,17
Serge Reggiani,FR,1,17
Stereo MCs,GB,1,17
The Bug,GB,1,17
The Clash,GB,1,17
The Outcast Owl & Home,US,1,17
Tube,JP,1,17
X Ambassadors,US,1,17
30 Seconds To Mars,US,1,16
Barney Stinson,US,1,16
Berlioz,ZA,1,16
Chet Faker,AU,1,16
Cilla Black,GB,1,16
Daniele Vitale Sax,IT,1,16
Eagle-Eye Cherry,SE,1,16
East Coast,US,1,16
Far East Movement,US,1,16
Forhill,US,1,16
Gemini Drive,GB,1,16
Gloria Gaynor,US,1,16
INXS,AU,1,16
Interview,FR,1,16
Jack Beats,GB,1,16
John Newman,GB,1,16
KRS-One,US,1,16
Lawrence,IT,1,16
M Ward,US,1,16
Michel Berger,FR,1,16
Ram Jam,US,1,16
Riize,KR,1,16
Saja Boys,KR,1,16
Say When,US,1,16
Shoestring,US,1,16
Spin Doctors,US,1,16
The Revivalists,US,1,16
The Sweet,GB,1,16
Tom Jones,US,1,16
Yolanda Be Cool & DCUP,AU,1,16
Aaron Carter,US,1,15
AfX,GB,1,15
Animal Kingdom,GB,1,15
Asia,GB,1,15
Boys Town Gang,US,1,15
CTID,NO,1,15
Connie Francis,US,1,15
DVBBS & Borgeous,CA,1,15
Del Amitri,GB,1,15
Dillon Francis & DJ Snake,FR,1,15
Donovan,US,1,15
Ellie Goulding,GB,1,15
Finger,,1,15
Ghost,SE,1,15
Haddaway,DE,1,15
Hensonn,US,1,15
Howard Jones,GB,1,15
Kamini,FR,1,15
La Bouche,DE,1,15
LuigiDonatello & Home,US,1,15
Michael Sembello,US,1,15
Naxxos,FR,1,15
Nirvana,US,2,15
Party Harders & The Subs,BE,1,15
Patrice Rushen,US,1,15
Paul Anka,CA,1,15
Princess Chelsea,NZ,1,15
Sick On the Bus,GB,1,15
Sniper,FR,1,15
Sophie B. Hawkins,US,1,15
Starsound Orchestra,SE,1,15
The Bangles,US,1,15
The Jacksons,US,1,15
The Verve Pipe,US,1,15
The Wanted,GB,1,15
Third Eye Blind,US,1,15
Toro y Moi,US,1,15
Trey Songz,US,1,15
Twisted Sister,US,1,15
Ylvis,NO,1,15
Brodinsky,FR,1,14
Chinese Man,FR,1,14
Coolio featuring L.V.,US,1,14
Corey Hart,CA,1,14
Dubba Jonny,US,1,14
Gary Jules,US,1,14
George Clinton Jr,US,1,14
Jay Z,US,1,14
Jean Schultheis,FR,1,14
Joan Jett,US,1,14
Joe Blow,US,1,14
Los Del Rio,ES,1,14
Micky Green,AU,1,14
Ming Tea,CA,1,14
My Chemical Romance,US,1,14
Pink Martini,US,1,14
"PinkPantheress, Ice Spice",GB,1,14
Rone,FR,1,14
Sound System,US,1,14
Swing Out Sister,GB,1,14
The Neighbourhood,US,1,14
Twenty One Pilots,US,1,14
AC/DC,AU,1,13
Awolnation,US,1,13
Buddy Holly,US,1,13
Castlecomer,AU,1,13
"Christina Aguilera, Lil'Kim, Mya & P!nk",US,1,13
Doechii,US,1,13
Friendly Fires,GB,1,13
George Ezra,GB,1,13
George Harrison,GB,1,13
Hagalaz Runedance,DE,1,13
Hilary Duff,US,1,13
Inna,RO,1,13
Japanese Breakfast,US,1,13
Kid Rock,US,1,13
Kid Simius,ES,1,13
Lorde & Flume,NZ,1,13
Minako Yoshida,JP,1,13
Nathan Lane & Matthew Broderick,US,1,13
Nina Simone,US,1,13
Norman Greenbaum,US,1,13
Omar et Fred,FR,1,13
Overcrest,US,1,13
Pilot,GB,1,13
Plain White Ts,US,1,13
Shy'm,FR,1,13
Silver Convention,DE,1,13
The Dandy Warhols,US,1,13
The Procussions,US,1,13
The Verve,GB,1,13
Van Halen,US,1,13
Victor Le Masne - Topic,FR,1,13
Wallace Collection,BE,1,13
Young-Holt Unlimited,US,1,13
"2Pac, Roger Troutman & Dr. Dre",US,1,12
Benson Boone,US,1,12
Beyonce,US,2,12
Caesars,SE,1,12
Carl Douglas,JM,1,12
Dania Bartolomeo,FR,1,12
Dizzee Rascal,GB,1,12
Eddie Johns,LR,1,12
Flako,US,1,12
Human League,GB,1,12
Israel Kamakawiwo'ole,US,1,12
JJ,,1,12
Janis Joplin,US,1,12
Le top des Tout-P'tits,FR,1,12
Mac Dre,US,1,12
Rossini,IT,1,12
Seelenluft,CH,1,12
Shaka Ponk,FR,1,12
Vanilla Ice,US,1,12
Venetian Princess,US,1,12
Zane Alexander,US,1,12
Amy Macdonald,GB,1,11
Crazy Town,US,1,11
Crystal Waters,US,1,11
Faith Hill,US,1,11
Force Unknown,GB,1,11
Foreigner,GB,1,11
Ghostbusters,US,1,11
Infected Mushroom,IL,1,11
Jimi Hendrix,US,1,11
Kris Allen,US,1,11
La Roux,GB,1,11
Le Metropole Orkest,FR,2,11
Lee Greenwood,US,1,11
Lesiem,IT,1,11
Lowfi Ghostie,JP,1,11
Miranda Cosgrove featuring Drake Bell,US,1,11
Naked Eyes,GB,1,11
Natasha Bedingfield,US,1,11
Peggy March,US,1,11
RJD2,US,1,11
Red Hot Chili Pepper ( Gamper,,1,11
Richard Carter,GB,1,11
Skippa da Flippa,US,1,11
Survivor,US,1,11
The Temptations,US,1,11
"""Weird Al"" Yankovic & Mike Kieffer",,1,10
American Heroes,US,1,10
Deep Purple,GB,1,10
Don McLean,US,1,10
Eagles,US,1,10
Freestylers,GB,1,10
Jason Mraz,US,1,10
Kamari Carter,US,1,10
Kim Carnes,US,1,10
Mareux,US,1,10
Nihonzera,JP,1,10
PSY (Artist),KR,1,10
Phill Collins,GB,1,10
Ramones,US,1,10
Seryoga,BY,1,10
Stiig,EE,1,10
T.I.,US,1,10
VØJ & Narvent,UA,1,10
Actress,GB,1,9
Bassnectar,US,1,9
Boy George,,1,9
Don Omar,FR,1,9
Johnny Hallyday,FR,1,9
Kansas,US,1,9
Kris Kross,US,1,9
Paris Hilton,US,1,9
Sak Noel,ES,1,9
Sidney Samson,NL,1,9
Soprano,FR,1,9
Spice Girls,GB,1,9
Tan Dun,CN,1,9
The Knack,GB,1,9
Whitesnake,GB,1,9
2 Chainz,US,1,8
C+C Music Factory,US,1,8
Dev,US,1,8
Digital Underground,US,1,8
Grand Funk Railroad,US,1,8
"Jonas Blue, Malive",BR,1,8
La Fouine,FR,1,8
Moussier Tombola,FR,1,8
Rick Astley,GB,1,8
Rob Dougan,AU,1,8
Rose Royce,US,1,8
Coolio,US,1,7
"Eminem, Dr. Dre & 50 Cent",US,1,7
Felix Jaehn,DE,1,7
Josh tobin,US,1,7
Maya,FR,1,7
Oivia Newton John,AU,1,7
Power Music,DE,1,7
Pzk,FR,1,7
The J. Geils Band,US,1,7
Thomas,GB,1,7
Weiss,GB,1,7
Wiz Khalifa,US,1,7
Chief Keef,US,1,6
Electrixx,RU,1,6
Engelbert,GB,1,6
Gummibär,FR,1,6
Jim Jamison,US,1,6
John Denver & The Muppets,US,1,6
MC Hammer,US,1,6
Savage,US,1,6
Spandau Ballet,GB,1,6
White Stripes,US,1,6
A Flock of Seagulls,GB,1,5
Booty Full,FR,1,5
Chet Baker,US,1,5
HardNox,US,1,5
Jamie Foxx,US,1,5
Joris Delacroix,FR,1,5
Wolfgang Amadeus Mozart,DE,1,5
Arnold Schoenberg,DE,1,4
Fergie,US,1,4
Kelis,US,1,4
Portishead,GB,1,4
Soulja Boy Tell 'Em,US,1,4
Arvo Part,EE,1,3
The Guess Who,CA,1,2
The Strumbellas,CA,1,2
Laufey,IS,1,1
Luther Vandross,US,1,1
Yael Naïm,IL,1,1
Bad Musician,US,1,0
